forecast_type,n,bias_B_E[e]_MWh,RMSE_e_MWh,mean_spread_E[pi]_EUR_per_MWh,sigma_spread_sigma_pi,rho_corr_e_pi,E[e*pi]_empirical_EUR_per_interval,E[e*pi]_decomp_EUR_per_interval,decomp_error_emp_minus_decomp
deterministic,666.0,-0.07747804492160025,0.578913611024551,3.3733483483483484,86.46604137035554,-0.15861605192030356,-8.129676650375407,-8.129676650375409,1.7763568394002505e-15
p10,666.0,0.4283104695994346,0.827144185661438,0.8965765765765777,86.61161543476783,-0.19789009080495568,-11.744194819298151,-11.74419481929815,-1.7763568394002505e-15
p20,666.0,0.25644223991068726,0.727860162882118,1.4890540540540538,86.7512064744973,-0.18229329920777135,-10.390570303367733,-10.390570303367738,5.329070518200751e-15
p30,666.0,0.1406417214343099,0.6747909853073694,2.0318468468468476,86.35859429756613,-0.17087005013594556,-9.452845718758246,-9.452845718758244,-1.7763568394002505e-15
p40,666.0,0.035108479665382324,0.6452104669703985,2.501216216216216,86.10245867896492,-0.15891600698202163,-8.727559242903917,-8.727559242903917,0.0
p50,666.0,-0.06776088685971281,0.6319982955909142,3.012957957957958,86.3098264483876,-0.14495333208513034,-8.065448351804422,-8.06544835180442,-1.7763568394002505e-15
p60,666.0,-0.1760410569095361,0.6456274018610662,3.6020270270270274,86.08960022855712,-0.12962707618203773,-7.566007284962994,-7.566007284962994,0.0
p70,666.0,-0.3021758150754882,0.695812744451369,4.063408408408409,86.08763218348689,-0.11482644024992007,-7.423606297365881,-7.423606297365878,-2.6645352591003757e-15
p80,666.0,-0.46838075423343206,0.7995914134933102,4.363933933933936,86.15753258514778,-0.08937533364743855,-7.034182553968209,-7.0341825539682095,8.881784197001252e-16
p90,666.0,-0.7393924417437182,1.0539533614417012,4.610780780780781,86.20751861500682,-0.028331544361040573,-5.2436007680013255,-5.24360076800132,-5.329070518200751e-15
str_1,666.0,-0.1754614760778198,0.6703752731555297,3.2547897897897906,85.86462603211227,-0.09045558228448586,-5.596340681037146,-5.596340681037144,-2.6645352591003757e-15
