forecast_type,n,bias_B_E[e]_MWh,RMSE_e_MWh,mean_spread_E[pi]_EUR_per_MWh,sigma_spread_sigma_pi,rho_corr_e_pi,E[e*pi]_empirical_EUR_per_interval,E[e*pi]_decomp_EUR_per_interval,decomp_error_emp_minus_decomp
deterministic,781.0,0.5250382814963954,2.603901412120263,18.596043533930857,119.80729061753554,-0.028284705029872785,1.1209942923136327,1.1209942923136325,2.220446049250313e-16
p10,781.0,3.3824003802722795,4.916332904143873,18.596043533930857,119.80729061753554,-0.06633952223659187,34.541981694488754,34.541981694488754,0.0
p20,781.0,2.3806015457288603,3.8289821730367217,18.596043533930857,119.80729061753554,-0.06777679023189986,19.91764625454298,19.917646254542966,1.4210854715202004e-14
p30,781.0,1.6187336874312972,3.2104465799279143,18.596043533930857,119.80729061753554,-0.0646515742443221,8.627128439125249,8.627128439125244,5.329070518200751e-15
p40,781.0,1.036588704449717,2.9045021571905667,18.596043533930857,119.80729061753554,-0.055029142136931074,1.388415640636265,1.3884156406362642,8.881784197001252e-16
p50,781.0,0.4950041592046438,2.7150259265501626,18.596043533930857,119.80729061753554,-0.04073314874517169,-3.8224805756196862,-3.822480575619677,-9.325873406851315e-15
p60,781.0,-0.04215635014891052,2.6294949413116444,18.596043533930857,119.80729061753554,-0.02418585788974411,-8.402297323325268,-8.402297323325271,3.552713678800501e-15
p70,781.0,-0.5887673295659295,2.662652056449783,18.596043533930857,119.80729061753554,-0.005923191185217247,-12.791498746785981,-12.791498746785978,-3.552713678800501e-15
p80,781.0,-1.2094277569980068,2.8844648981684795,18.596043533930857,119.80729061753554,0.01958428590562754,-16.346285065419426,-16.346285065419423,-3.552713678800501e-15
p90,781.0,-2.0419728361740916,3.4644806210638333,18.596043533930857,119.80729061753554,0.05008558762310561,-21.178415299830426,-21.178415299830426,0.0
str_1,781.0,1.8827462010949594,3.410019282556155,18.596043533930857,119.80729061753554,-0.06894063196124862,11.528381410698575,11.528381410698582,-7.105427357601002e-15
