measure_date_CET,measure_date_UTC_str,measure_date_UTC,da_price,end_date,resolution,imbalance,system_trend,positive_imbalance_settlement_price,negative_imbalance_settlement_price,missing_data_list,updated_date,partition_day,_hour_utc,da_price_15min
2025-01-01 00:00:00+01:00,2024-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,12.36,,,,,,,,,,2024-12-31 23:00:00+00:00,12.36
2025-01-01 01:00:00+01:00,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,18.92,,,,,,,,,,2025-01-01 00:00:00+00:00,18.92
2025-01-01 02:00:00+01:00,2025-01-01 01:00:00+00:00,2025-01-01 01:00:00+00:00,16.66,,,,,,,,,,2025-01-01 01:00:00+00:00,16.66
2025-01-01 03:00:00+01:00,2025-01-01 02:00:00+00:00,2025-01-01 02:00:00+00:00,13.1,,,,,,,,,,2025-01-01 02:00:00+00:00,13.1
2025-01-01 04:00:00+01:00,2025-01-01 03:00:00+00:00,2025-01-01 03:00:00+00:00,5.9,,,,,,,,,,2025-01-01 03:00:00+00:00,5.9
2025-01-01 05:00:00+01:00,2025-01-01 04:00:00+00:00,2025-01-01 04:00:00+00:00,9.27,,,,,,,,,,2025-01-01 04:00:00+00:00,9.27
2025-01-01 06:00:00+01:00,2025-01-01 05:00:00+00:00,2025-01-01 05:00:00+00:00,10.04,,,,,,,,,,2025-01-01 05:00:00+00:00,10.04
2025-01-01 07:00:00+01:00,2025-01-01 06:00:00+00:00,2025-01-01 06:00:00+00:00,7.23,,,,,,,,,,2025-01-01 06:00:00+00:00,7.23
2025-01-01 08:00:00+01:00,2025-01-01 07:00:00+00:00,2025-01-01 07:00:00+00:00,12.83,,,,,,,,,,2025-01-01 07:00:00+00:00,12.83
2025-01-01 09:00:00+01:00,2025-01-01 08:00:00+00:00,2025-01-01 08:00:00+00:00,13.76,,,,,,,,,,2025-01-01 08:00:00+00:00,13.76
2025-01-01 10:00:00+01:00,2025-01-01 09:00:00+00:00,2025-01-01 09:00:00+00:00,17.95,,,,,,,,,,2025-01-01 09:00:00+00:00,17.95
2025-01-01 11:00:00+01:00,2025-01-01 10:00:00+00:00,2025-01-01 10:00:00+00:00,20.59,,,,,,,,,,2025-01-01 10:00:00+00:00,20.59
2025-01-01 12:00:00+01:00,2025-01-01 11:00:00+00:00,2025-01-01 11:00:00+00:00,28.11,,,,,,,,,,2025-01-01 11:00:00+00:00,28.11
2025-01-01 13:00:00+01:00,2025-01-01 12:00:00+00:00,2025-01-01 12:00:00+00:00,30.0,,,,,,,,,,2025-01-01 12:00:00+00:00,30.0
2025-01-01 14:00:00+01:00,2025-01-01 13:00:00+00:00,2025-01-01 13:00:00+00:00,21.5,,,,,,,,,,2025-01-01 13:00:00+00:00,21.5
2025-01-01 15:00:00+01:00,2025-01-01 14:00:00+00:00,2025-01-01 14:00:00+00:00,10.68,,,,,,,,,,2025-01-01 14:00:00+00:00,10.68
2025-01-01 16:00:00+01:00,2025-01-01 15:00:00+00:00,2025-01-01 15:00:00+00:00,20.18,,,,,,,,,,2025-01-01 15:00:00+00:00,20.18
2025-01-01 17:00:00+01:00,2025-01-01 16:00:00+00:00,2025-01-01 16:00:00+00:00,35.72,,,,,,,,,,2025-01-01 16:00:00+00:00,35.72
2025-01-01 18:00:00+01:00,2025-01-01 17:00:00+00:00,2025-01-01 17:00:00+00:00,48.06,,,,,,,,,,2025-01-01 17:00:00+00:00,48.06
