measure_date,measure_date_UTC,imbalance,positive_imbalance_settlement_price,negative_imbalance_settlement_price,da_price_15min
2025-07-06 22:00:00.0000000 +00:00,2025-07-06 22:00:00+00:00,-128.0,42.61,46.15,46.35
2025-07-06 22:15:00.0000000 +00:00,2025-07-06 22:15:00+00:00,-104.0,39.36,42.62,46.35
2025-07-06 22:30:00.0000000 +00:00,2025-07-06 22:30:00+00:00,27.0,-30.1,-27.8,46.35
2025-07-06 22:45:00.0000000 +00:00,2025-07-06 22:45:00+00:00,198.0,-35.73,-32.99,46.35
2025-07-06 23:00:00.0000000 +00:00,2025-07-06 23:00:00+00:00,21.0,19.09,20.67,35.82
2025-07-06 23:15:00.0000000 +00:00,2025-07-06 23:15:00+00:00,-4.0,18.95,20.53,35.82
2025-07-06 23:30:00.0000000 +00:00,2025-07-06 23:30:00+00:00,-108.0,42.1,45.58,35.82
2025-07-06 23:45:00.0000000 +00:00,2025-07-06 23:45:00+00:00,0.0,22.06,23.88,35.82
2025-07-07 00:00:00.0000000 +00:00,2025-07-07 00:00:00+00:00,-107.0,29.1,31.52,38.15
2025-07-07 00:15:00.0000000 +00:00,2025-07-07 00:15:00+00:00,-43.0,22.02,23.84,38.15
2025-07-07 00:30:00.0000000 +00:00,2025-07-07 00:30:00+00:00,-195.0,26.26,28.44,38.15
2025-07-07 00:45:00.0000000 +00:00,2025-07-07 00:45:00+00:00,-120.0,19.54,21.16,38.15
2025-07-07 01:00:00.0000000 +00:00,2025-07-07 01:00:00+00:00,-264.0,179.24,194.1,25.44
2025-07-07 01:15:00.0000000 +00:00,2025-07-07 01:15:00+00:00,-268.0,103.19,111.75,25.44
2025-07-07 01:30:00.0000000 +00:00,2025-07-07 01:30:00+00:00,-279.0,31.37,33.97,25.44
2025-07-07 01:45:00.0000000 +00:00,2025-07-07 01:45:00+00:00,-251.0,42.74,46.28,25.44
2025-07-07 02:00:00.0000000 +00:00,2025-07-07 02:00:00+00:00,-237.0,56.99,61.71,29.2
2025-07-07 02:15:00.0000000 +00:00,2025-07-07 02:15:00+00:00,-223.0,18.45,19.97,29.2
2025-07-07 02:30:00.0000000 +00:00,2025-07-07 02:30:00+00:00,-216.0,21.74,23.54,29.2
2025-07-07 02:45:00.0000000 +00:00,2025-07-07 02:45:00+00:00,-314.0,31.41,34.01,29.2
2025-07-07 03:00:00.0000000 +00:00,2025-07-07 03:00:00+00:00,-131.0,34.06,36.88,35.85
2025-07-07 03:15:00.0000000 +00:00,2025-07-07 03:15:00+00:00,-148.0,16.33,17.69,35.85
2025-07-07 03:30:00.0000000 +00:00,2025-07-07 03:30:00+00:00,-165.0,39.5,42.78,35.85
2025-07-07 03:45:00.0000000 +00:00,2025-07-07 03:45:00+00:00,-121.0,39.94,43.26,35.85
2025-07-07 04:00:00.0000000 +00:00,2025-07-07 04:00:00+00:00,-40.0,-2.43,-2.25,40.46
2025-07-07 04:15:00.0000000 +00:00,2025-07-07 04:15:00+00:00,-129.0,-2.43,-2.25,40.46
2025-07-07 04:30:00.0000000 +00:00,2025-07-07 04:30:00+00:00,-104.0,-2.43,-2.25,40.46
2025-07-07 04:45:00.0000000 +00:00,2025-07-07 04:45:00+00:00,-128.0,-2.43,-2.25,40.46
2025-07-07 05:00:00.0000000 +00:00,2025-07-07 05:00:00+00:00,237.0,-58.83,-54.33,38.13
2025-07-07 05:15:00.0000000 +00:00,2025-07-07 05:15:00+00:00,260.0,-131.42,-121.36,38.13
2025-07-07 05:30:00.0000000 +00:00,2025-07-07 05:30:00+00:00,266.0,-58.12,-53.68,38.13
2025-07-07 05:45:00.0000000 +00:00,2025-07-07 05:45:00+00:00,196.0,-3.31,-3.05,38.13
2025-07-07 06:00:00.0000000 +00:00,2025-07-07 06:00:00+00:00,171.0,17.53,18.99,58.71
2025-07-07 06:15:00.0000000 +00:00,2025-07-07 06:15:00+00:00,142.0,14.95,16.19,58.71
2025-07-07 06:30:00.0000000 +00:00,2025-07-07 06:30:00+00:00,122.0,11.75,12.73,58.71
2025-07-07 06:45:00.0000000 +00:00,2025-07-07 06:45:00+00:00,85.0,2.27,2.45,58.71
2025-07-07 07:00:00.0000000 +00:00,2025-07-07 07:00:00+00:00,-8.0,23.18,25.1,57.5
2025-07-07 07:15:00.0000000 +00:00,2025-07-07 07:15:00+00:00,99.0,-8.42,-7.78,57.5
2025-07-07 07:30:00.0000000 +00:00,2025-07-07 07:30:00+00:00,251.0,-7.48,-6.9,57.5
2025-07-07 07:45:00.0000000 +00:00,2025-07-07 07:45:00+00:00,272.0,-12.76,-11.78,57.5
2025-07-07 08:00:00.0000000 +00:00,2025-07-07 08:00:00+00:00,143.0,-9.89,-9.13,37.5
2025-07-07 08:15:00.0000000 +00:00,2025-07-07 08:15:00+00:00,215.0,-13.54,-12.5,37.5
2025-07-07 08:30:00.0000000 +00:00,2025-07-07 08:30:00+00:00,203.0,-13.89,-12.83,37.5
2025-07-07 08:45:00.0000000 +00:00,2025-07-07 08:45:00+00:00,188.0,-13.26,-12.24,37.5
2025-07-07 09:00:00.0000000 +00:00,2025-07-07 09:00:00+00:00,119.0,-13.97,-12.91,18.01
2025-07-07 09:15:00.0000000 +00:00,2025-07-07 09:15:00+00:00,203.0,-13.18,-12.18,18.01
2025-07-07 09:30:00.0000000 +00:00,2025-07-07 09:30:00+00:00,191.0,-12.36,-11.42,18.01
2025-07-07 09:45:00.0000000 +00:00,2025-07-07 09:45:00+00:00,232.0,-13.76,-12.7,18.01
2025-07-07 10:00:00.0000000 +00:00,2025-07-07 10:00:00+00:00,230.0,-13.69,-12.65,26.99
2025-07-07 10:15:00.0000000 +00:00,2025-07-07 10:15:00+00:00,446.0,-43.08,-39.78,26.99
2025-07-07 10:30:00.0000000 +00:00,2025-07-07 10:30:00+00:00,234.0,-6.73,-6.21,26.99
2025-07-07 10:45:00.0000000 +00:00,2025-07-07 10:45:00+00:00,284.0,-9.82,-9.06,26.99
2025-07-07 11:00:00.0000000 +00:00,2025-07-07 11:00:00+00:00,120.0,-10.24,-9.46,8.13
2025-07-07 11:15:00.0000000 +00:00,2025-07-07 11:15:00+00:00,96.0,-10.37,-9.57,8.13
2025-07-07 11:30:00.0000000 +00:00,2025-07-07 11:30:00+00:00,29.0,-10.37,-9.57,8.13
2025-07-07 11:45:00.0000000 +00:00,2025-07-07 11:45:00+00:00,219.0,-10.12,-9.34,8.13
2025-07-07 12:00:00.0000000 +00:00,2025-07-07 12:00:00+00:00,169.0,-10.36,-9.56,8.7
2025-07-07 12:15:00.0000000 +00:00,2025-07-07 12:15:00+00:00,89.0,-10.37,-9.57,8.7
2025-07-07 12:30:00.0000000 +00:00,2025-07-07 12:30:00+00:00,102.0,-11.83,-10.93,8.7
2025-07-07 12:45:00.0000000 +00:00,2025-07-07 12:45:00+00:00,170.0,-12.75,-11.77,8.7
2025-07-07 13:00:00.0000000 +00:00,2025-07-07 13:00:00+00:00,407.0,-15.64,-14.44,5.0
2025-07-07 13:15:00.0000000 +00:00,2025-07-07 13:15:00+00:00,452.0,-16.1,-14.86,5.0
2025-07-07 13:30:00.0000000 +00:00,2025-07-07 13:30:00+00:00,513.0,-19.1,-17.64,5.0
2025-07-07 13:45:00.0000000 +00:00,2025-07-07 13:45:00+00:00,479.0,-14.56,-13.44,5.0
2025-07-07 14:00:00.0000000 +00:00,2025-07-07 14:00:00+00:00,519.0,-19.29,-17.81,3.6
2025-07-07 14:15:00.0000000 +00:00,2025-07-07 14:15:00+00:00,559.0,-19.25,-17.77,3.6
2025-07-07 14:30:00.0000000 +00:00,2025-07-07 14:30:00+00:00,540.0,-19.05,-17.59,3.6
2025-07-07 14:45:00.0000000 +00:00,2025-07-07 14:45:00+00:00,496.0,-19.32,-17.84,3.6
2025-07-07 15:00:00.0000000 +00:00,2025-07-07 15:00:00+00:00,518.0,-19.42,-17.94,4.31
2025-07-07 15:15:00.0000000 +00:00,2025-07-07 15:15:00+00:00,406.0,-19.58,-18.08,4.31
2025-07-07 15:30:00.0000000 +00:00,2025-07-07 15:30:00+00:00,411.0,-19.12,-17.66,4.31
2025-07-07 15:45:00.0000000 +00:00,2025-07-07 15:45:00+00:00,288.0,-19.89,-18.37,4.31
2025-07-07 16:00:00.0000000 +00:00,2025-07-07 16:00:00+00:00,145.0,-12.77,-11.79,34.47
2025-07-07 16:15:00.0000000 +00:00,2025-07-07 16:15:00+00:00,87.0,-10.87,-10.03,34.47
2025-07-07 16:30:00.0000000 +00:00,2025-07-07 16:30:00+00:00,118.0,-8.63,-7.97,34.47
2025-07-07 16:45:00.0000000 +00:00,2025-07-07 16:45:00+00:00,0.0,16.86,18.26,34.47
2025-07-07 17:00:00.0000000 +00:00,2025-07-07 17:00:00+00:00,203.0,26.74,28.96,54.37
2025-07-07 17:15:00.0000000 +00:00,2025-07-07 17:15:00+00:00,99.0,40.88,44.26,54.37
2025-07-07 17:30:00.0000000 +00:00,2025-07-07 17:30:00+00:00,246.0,16.46,17.82,54.37
2025-07-07 17:45:00.0000000 +00:00,2025-07-07 17:45:00+00:00,148.0,0.06,0.06,54.37
2025-07-07 18:00:00.0000000 +00:00,2025-07-07 18:00:00+00:00,186.0,0.36,0.38,50.2
2025-07-07 18:15:00.0000000 +00:00,2025-07-07 18:15:00+00:00,169.0,-5.04,-4.66,50.2
2025-07-07 18:30:00.0000000 +00:00,2025-07-07 18:30:00+00:00,180.0,-6.23,-5.75,50.2
2025-07-07 18:45:00.0000000 +00:00,2025-07-07 18:45:00+00:00,292.0,5.56,6.02,50.2
2025-07-07 19:00:00.0000000 +00:00,2025-07-07 19:00:00+00:00,209.0,3.11,3.37,54.66
2025-07-07 19:15:00.0000000 +00:00,2025-07-07 19:15:00+00:00,197.0,-0.92,-0.84,54.66
2025-07-07 19:30:00.0000000 +00:00,2025-07-07 19:30:00+00:00,156.0,-5.34,-4.94,54.66
2025-07-07 19:45:00.0000000 +00:00,2025-07-07 19:45:00+00:00,245.0,1.6,1.74,54.66
2025-07-07 20:00:00.0000000 +00:00,2025-07-07 20:00:00+00:00,118.0,-5.21,-4.81,92.27
2025-07-07 20:15:00.0000000 +00:00,2025-07-07 20:15:00+00:00,71.0,-10.75,-9.93,92.27
2025-07-07 20:30:00.0000000 +00:00,2025-07-07 20:30:00+00:00,-11.0,54.26,58.76,92.27
2025-07-07 20:45:00.0000000 +00:00,2025-07-07 20:45:00+00:00,85.0,44.02,47.66,92.27
2025-07-07 21:00:00.0000000 +00:00,2025-07-07 21:00:00+00:00,21.0,72.95,78.99,78.98
2025-07-07 21:15:00.0000000 +00:00,2025-07-07 21:15:00+00:00,91.0,43.06,46.62,78.98
2025-07-07 21:30:00.0000000 +00:00,2025-07-07 21:30:00+00:00,41.0,56.29,60.95,78.98
2025-07-07 21:45:00.0000000 +00:00,2025-07-07 21:45:00+00:00,136.0,45.06,48.8,78.98
2025-07-07 22:00:00.0000000 +00:00,2025-07-07 22:00:00+00:00,64.0,19.96,21.62,61.85
2025-07-07 22:15:00.0000000 +00:00,2025-07-07 22:15:00+00:00,219.0,8.38,9.08,61.85
2025-07-07 22:30:00.0000000 +00:00,2025-07-07 22:30:00+00:00,611.0,-77.82,-71.86,61.85
2025-07-07 22:45:00.0000000 +00:00,2025-07-07 22:45:00+00:00,88.0,-57.02,-52.66,61.85
2025-07-07 23:00:00.0000000 +00:00,2025-07-07 23:00:00+00:00,408.0,-7.44,-6.88,43.45
2025-07-07 23:15:00.0000000 +00:00,2025-07-07 23:15:00+00:00,568.0,-7.9,-7.3,43.45
2025-07-07 23:30:00.0000000 +00:00,2025-07-07 23:30:00+00:00,433.0,1.11,1.21,43.45
2025-07-07 23:45:00.0000000 +00:00,2025-07-07 23:45:00+00:00,378.0,-8.12,-7.5,43.45
2025-07-08 00:00:00.0000000 +00:00,2025-07-08 00:00:00+00:00,431.0,1.63,1.77,39.17
2025-07-08 00:15:00.0000000 +00:00,2025-07-08 00:15:00+00:00,593.0,-3.59,-3.31,39.17
2025-07-08 00:30:00.0000000 +00:00,2025-07-08 00:30:00+00:00,411.0,3.41,3.69,39.17
2025-07-08 00:45:00.0000000 +00:00,2025-07-08 00:45:00+00:00,409.0,-0.11,-0.11,39.17
2025-07-08 01:00:00.0000000 +00:00,2025-07-08 01:00:00+00:00,354.0,-7.63,-7.05,31.81
2025-07-08 01:15:00.0000000 +00:00,2025-07-08 01:15:00+00:00,194.0,-14.7,-13.58,31.81
2025-07-08 01:30:00.0000000 +00:00,2025-07-08 01:30:00+00:00,173.0,-18.24,-16.84,31.81
2025-07-08 01:45:00.0000000 +00:00,2025-07-08 01:45:00+00:00,155.0,-18.24,-16.84,31.81
2025-07-08 02:00:00.0000000 +00:00,2025-07-08 02:00:00+00:00,66.0,-48.88,-45.14,31.91
2025-07-08 02:15:00.0000000 +00:00,2025-07-08 02:15:00+00:00,115.0,-41.07,-37.93,31.91
2025-07-08 02:30:00.0000000 +00:00,2025-07-08 02:30:00+00:00,39.0,-17.45,-16.11,31.91
2025-07-08 02:45:00.0000000 +00:00,2025-07-08 02:45:00+00:00,77.0,-17.45,-16.11,31.91
2025-07-08 03:00:00.0000000 +00:00,2025-07-08 03:00:00+00:00,170.0,-3.74,-3.46,30.1
2025-07-08 03:15:00.0000000 +00:00,2025-07-08 03:15:00+00:00,140.0,-4.0,-3.7,30.1
2025-07-08 03:30:00.0000000 +00:00,2025-07-08 03:30:00+00:00,129.0,-4.59,-4.23,30.1
2025-07-08 03:45:00.0000000 +00:00,2025-07-08 03:45:00+00:00,234.0,-4.4,-4.06,30.1
2025-07-08 04:00:00.0000000 +00:00,2025-07-08 04:00:00+00:00,338.0,5.93,6.43,38.52
2025-07-08 04:15:00.0000000 +00:00,2025-07-08 04:15:00+00:00,176.0,3.31,3.59,38.52
2025-07-08 04:30:00.0000000 +00:00,2025-07-08 04:30:00+00:00,130.0,2.38,2.58,38.52
2025-07-08 04:45:00.0000000 +00:00,2025-07-08 04:45:00+00:00,-8.0,165.43,179.15,38.52
2025-07-08 05:00:00.0000000 +00:00,2025-07-08 05:00:00+00:00,133.0,7.07,7.65,61.13
2025-07-08 05:15:00.0000000 +00:00,2025-07-08 05:15:00+00:00,92.0,-0.85,-0.79,61.13
2025-07-08 05:30:00.0000000 +00:00,2025-07-08 05:30:00+00:00,18.0,-1.8,-1.66,61.13
2025-07-08 05:45:00.0000000 +00:00,2025-07-08 05:45:00+00:00,-24.0,37.71,40.83,61.13
2025-07-08 06:00:00.0000000 +00:00,2025-07-08 06:00:00+00:00,-243.0,145.19,157.23,60.0
