h,MAE,Count
1,167.9640740740741,720.0
2,172.61277777777778,720.0
3,186.12972222222223,720.0
4,178.3834492350487,719.0
5,168.08419100602688,719.0
6,172.77074640704683,719.0
7,186.37399165507654,719.0
8,178.57441968430825,718.0
9,168.15710306406686,718.0
10,172.97367688022285,718.0
11,186.6199628597957,718.0
12,178.74063226406324,717.0
13,168.18331008833104,717.0
14,173.2012552301255,717.0
15,186.80497443049748,717.0
16,178.81820297951583,716.0
17,168.41596834264433,716.0
18,173.33305400372436,716.0
19,187.01638733705772,716.0
20,178.80293706293708,715.0
21,168.5625641025641,715.0
22,173.422331002331,715.0
23,187.1465268065268,715.0
24,178.73071895424837,714.0
25,168.5121848739496,714.0
26,173.5216153127918,714.0
27,187.18786181139123,714.0
28,178.84277699859746,713.0
29,168.61729780271153,713.0
30,173.64820009350163,713.0
31,187.35951379149137,713.0
32,178.549297752809,712.0
33,168.31264044943822,712.0
34,173.31076779026216,712.0
35,187.02176966292134,712.0
36,177.97412095639945,711.0
37,167.9678856071261,711.0
38,172.9929676511955,711.0
39,186.72967651195498,711.0
40,177.78877934272302,710.0
41,167.72215962441314,710.0
42,172.9054929577465,710.0
43,186.71173708920185,710.0
44,177.61565585331454,709.0
45,167.67235543018336,709.0
46,172.87658674188998,709.0
47,186.85590032910198,709.0
48,177.72123352165724,708.0
49,167.71355932203392,708.0
50,172.89190207156307,708.0
51,186.82947269303202,708.0
52,177.78279113625646,707.0
53,167.7956152758133,707.0
54,172.91692597831212,707.0
55,186.84002828854312,707.0
56,177.74192634560904,706.0
57,167.62568460812088,706.0
58,172.84825306893296,706.0
59,186.87228517469308,706.0
60,177.96425531914892,705.0
61,167.80453900709222,705.0
62,172.94647754137117,705.0
63,186.9014184397163,705.0
64,178.07732007575757,704.0
65,167.93063446969697,704.0
66,173.15776515151515,704.0
67,187.01126893939391,704.0
68,178.21313418681842,703.0
69,167.64253200568993,703.0
70,173.05277382645804,703.0
71,186.84262683736364,703.0
72,178.07416904083573,702.0
73,167.47540360873694,702.0
74,172.92540360873696,702.0
75,186.97886989553655,702.0
76,177.93480741797433,701.0
77,167.55059438896814,701.0
78,173.16576319543512,701.0
79,187.1316214931051,701.0
80,177.64990476190474,700.0
81,167.44638095238096,700.0
82,173.09428571428572,700.0
83,187.21980952380952,700.0
84,177.81688125894135,699.0
85,167.6483547925608,699.0
86,173.2002861230329,699.0
87,187.28884120171674,699.0
88,177.81485195797515,698.0
89,167.6265042979943,698.0
90,173.22760267430755,698.0
91,187.28419293218718,698.0
92,176.79292204686752,697.0
93,167.21563845050215,697.0
94,172.59120038259206,697.0
95,186.5768531802965,697.0
96,176.2405172413793,696.0
97,167.25699233716475,696.0
98,171.86398467432952,696.0
99,185.75205938697317,696.0
100,175.77405275779375,695.0
101,166.9862829736211,695.0
102,171.69117505995203,695.0
103,185.52220623501196,695.0
104,175.63933717579252,694.0
105,166.93477425552354,694.0
106,171.6863112391931,694.0
107,185.54711815561961,694.0
108,175.6930735930736,693.0
109,167.03516113516113,693.0
110,171.83333333333334,693.0
111,185.781721981722,693.0
112,175.59552023121387,692.0
113,167.06931599229287,692.0
114,171.754816955684,692.0
115,185.81979768786127,692.0
116,175.58808490110948,691.0
117,167.15393150024119,691.0
118,171.96068499758806,691.0
119,185.92812349252293,691.0
120,175.6184541062802,690.0
121,167.2549275362319,690.0
122,172.0396618357488,690.0
123,186.0637198067633,690.0
124,175.70909530720854,689.0
125,167.3359458151911,689.0
126,172.09525882922108,689.0
127,186.10996613449444,689.0
128,175.49966085271316,688.0
129,167.36763565891474,688.0
130,172.29757751937984,688.0
131,186.3031976744186,688.0
132,175.39340126152354,687.0
133,167.42557011159633,687.0
134,172.33042212518194,687.0
135,186.36579330422123,687.0
136,175.53309037900877,686.0
137,167.4488824101069,686.0
138,172.4896501457726,686.0
139,186.41948493683188,686.0
140,175.72588807785888,685.0
141,167.4379075425791,685.0
142,172.68656934306568,685.0
143,186.46900243309003,685.0
144,175.94644249512672,684.0
145,167.52846003898637,684.0
146,172.70077972709552,684.0
147,186.33308966861597,684.0
148,175.43567593948268,683.0
149,167.01049292337726,683.0
150,172.14426549536358,683.0
151,185.84948755490484,683.0
152,174.55601173020528,682.0
153,166.34887585532746,682.0
154,171.4177908113392,682.0
155,185.01505376344085,682.0
156,173.48634361233482,681.0
157,165.42055800293687,681.0
158,170.4674498286833,681.0
159,184.2465981399902,681.0
160,173.15710784313728,680.0
161,165.4152450980392,680.0
162,170.60225490196078,680.0
163,184.42279411764707,680.0
164,173.2610211094747,679.0
165,165.62420225822288,679.0
166,170.79455081001473,679.0
167,184.2077565046637,679.0
168,173.1873156342183,678.0
169,165.76971484759096,678.0
170,170.91588003933137,678.0
171,184.39124877089478,678.0
172,173.39256523879862,677.0
173,165.9935499753816,677.0
174,171.148498276711,677.0
175,184.62653865091087,677.0
176,173.58895463510848,676.0
177,165.97800788954635,676.0
178,171.0336291913215,676.0
179,184.46977317554243,676.0
180,173.78696296296295,675.0
181,166.1983209876543,675.0
182,171.08256790123457,675.0
183,184.5519012345679,675.0
184,173.75662710187933,674.0
185,165.87087042532144,674.0
186,170.72344213649853,674.0
187,184.22106824925817,674.0
188,173.9492818226845,673.0
189,166.0445269935612,673.0
190,170.54502228826152,673.0
191,183.74101040118873,673.0
192,173.68988095238097,672.0
