measure_date,prod,da_price,Long,Short,imbalance
2024-01-01 07:00:00+00:00,0.0,0.0,-58.92,-58.92,69.34
2024-01-01 07:15:00+00:00,0.0,0.0,-57.68,-57.68,23.61
2024-01-01 07:30:00+00:00,5.77,0.0,-42.74,-42.74,43.89
2024-01-01 07:45:00+00:00,41.15,0.0,-38.94,-38.94,-39.26
2024-01-01 08:00:00+00:00,71.59,0.04,-20.4,-20.4,-44.98
2024-01-01 08:15:00+00:00,1020.16,0.04,-6.92,-6.92,-48.32
2024-01-01 08:30:00+00:00,3034.17,0.04,84.9,84.9,-48.94
2024-01-01 08:45:00+00:00,7863.16,0.04,-29.21,-29.21,-37.89
2024-01-01 09:00:00+00:00,6139.12,0.06,84.35,84.35,-69.32
2024-01-01 09:15:00+00:00,4874.05,0.06,-47.64,-47.64,4.1
2024-01-01 09:30:00+00:00,5618.94,0.06,-60.49,-60.49,11.13
2024-01-01 09:45:00+00:00,10887.87,0.06,-68.86,-68.86,17.5
2024-01-01 10:00:00+00:00,14739.45,0.54,75.15,75.15,-99.19
2024-01-01 10:15:00+00:00,17218.25,0.54,75.15,75.15,-90.03
2024-01-01 10:30:00+00:00,21534.51,0.54,-33.41,-33.41,-74.75
2024-01-01 10:45:00+00:00,19724.7,0.54,-55.75,-55.75,-63.13
2024-01-01 11:00:00+00:00,15977.33,2.24,-38.46,-38.46,7.46
2024-01-01 11:15:00+00:00,19798.38,2.24,-42.23,-42.23,-13.49
2024-01-01 11:30:00+00:00,15302.08,2.24,-46.02,-46.02,9.77
2024-01-01 11:45:00+00:00,10539.22,2.24,83.07,83.07,10.16
2024-01-01 12:00:00+00:00,12568.01,1.96,104.64,104.64,6.45
2024-01-01 12:15:00+00:00,6548.26,1.96,119.0,119.0,16.07
2024-01-01 12:30:00+00:00,3556.14,1.96,99.71,99.71,18.35
2024-01-01 12:45:00+00:00,1875.02,1.96,116.19,116.19,31.06
2024-01-01 13:00:00+00:00,4258.05,1.04,114.32,114.32,62.18
2024-01-01 13:15:00+00:00,4874.62,1.04,135.09,135.09,11.34
2024-01-01 13:30:00+00:00,4933.66,1.04,129.08,129.08,10.53
2024-01-01 13:45:00+00:00,3195.89,1.04,127.84,127.84,14.54
2024-01-01 14:00:00+00:00,2085.68,3.66,-16.59,-16.59,71.53
2024-01-01 14:15:00+00:00,60.69,3.66,94.64,94.64,59.18
2024-01-01 14:30:00+00:00,583.55,3.66,126.04,126.04,-3.6
2024-01-01 14:45:00+00:00,1019.36,3.66,104.36,104.36,-71.61
2024-01-01 15:00:00+00:00,29.46,43.06,-15.11,-15.11,-31.79
