horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-07-20 16:45:00+00:00,0,15,2835.6407830652624,3600.568230040811,4294.7340519906265,4901.392198613565,5243.532977019865,5493.700943685559,5756.367600182971,5990.754806557843,6236.385122460239,6491.631221182218,6884.397755707641,7220.194695912397,7632.48506077872,8386.179857703855,9235.141283912428,10275.693585770536,11399.1442061994,12447.868601529894,13930.601939791944,20501.04596215087,7420.275603694087
2025-07-20 17:00:00+00:00,1,30,2809.6802026119126,3972.090516518782,4231.639089161305,4575.208617144188,4813.489410506026,5124.372956646224,5392.130654864655,5899.674816384771,6239.266745078154,6691.099475620624,7089.489384355799,7424.047066357617,7822.504183413947,8657.647366472755,9276.523380734692,9898.123326818068,10413.391612628531,11193.088477309944,12408.055485490579,16463.25914230334,7101.399944410867
2025-07-20 17:15:00+00:00,2,45,2471.6079807124606,3336.374524294861,3547.7256940950997,3830.6494388246906,4031.9835319984427,4339.303903243106,4661.505978800866,5071.328757477712,5315.821079373795,5608.345794915479,5945.206853960443,6170.207786236765,6565.242527586199,6802.931590244217,7373.69711750581,7771.092424408087,8267.683906649483,8735.134980457571,9238.68378219762,12726.363462714124,5813.0081863009445
2025-07-20 17:30:00+00:00,3,60,1885.2688916915085,2441.506289875023,2682.7932565442093,2864.315386057317,3147.7707737236506,3405.2025738450375,3716.9887919437056,3944.1372502260124,4196.712633861047,4339.964531654167,4575.259469045432,4781.364855855851,4944.482159438188,5221.48006500509,5503.163742123089,5739.373696275651,6078.840179346485,6458.1283771247245,6957.791615814384,9365.773332014911,4454.3094882908445
2025-07-20 17:45:00+00:00,4,75,1274.7762602372038,1677.2631348297436,1955.9873520901585,2253.961205368737,2388.288054587167,2651.706853871495,2769.0993869270837,2927.7466685663067,3019.197253012948,3152.405633141773,3284.5297917193607,3359.745717060985,3532.1491023270282,3687.1059057467583,3839.676230305897,4008.9683613879956,4285.739986799665,4555.754446663023,5081.402602107035,6399.861757191175,3198.4710505930198
2025-07-20 18:00:00+00:00,5,90,955.4941367919575,1315.9749333394927,1541.126103794018,1737.931793799444,1862.6316958079253,1976.9265522245878,2132.5028264365096,2236.7871565318733,2327.2499863008575,2394.2717280979887,2498.8771353961038,2599.703965759383,2714.120471034406,2829.2898002752477,2925.8512378598866,3049.344019028721,3211.815376988729,3469.2214906118015,3882.971554542208,4793.424609731598,2432.193536825732
2025-07-20 18:15:00+00:00,6,105,872.6109302491734,1197.6995413086945,1306.2094107713992,1400.4558794527084,1522.5170247396065,1628.489451014678,1734.2938158948286,1803.3257181427136,1945.286924728527,2013.0791938999973,2082.658083400974,2186.830948791643,2305.893451228904,2427.273089940754,2559.9067439394216,2657.5366844703326,2853.539908254654,3018.865489497916,3333.0642590112625,4068.6317394066205,2075.2691882355834
2025-07-20 18:30:00+00:00,7,120,613.1670988107461,924.586314653137,1002.419849148302,1069.6945862020978,1167.44646821686,1230.9940611996428,1295.227908263131,1360.702854219867,1402.1877135134903,1484.931982004595,1574.93750046507,1627.7370561812904,1683.277519809819,1792.7277038505308,1907.5641971516434,1989.8284191446069,2124.5279268807494,2255.066940310483,2453.4598440630207,3102.1181824558657,1541.6815413589513
2025-07-20 18:45:00+00:00,8,135,382.0776774055631,547.2489346512383,663.8929768091292,706.3878112250404,744.460559803135,793.9567110873426,844.6146207585533,877.0840247392507,911.7729623760985,942.4343713579063,997.8918224482541,1051.404354910375,1090.1546237893715,1126.359631512448,1192.9104871742343,1263.7511814072936,1340.450827506715,1445.914255329218,1608.481626583502,2062.8181915887567,999.6913751554154
2025-07-20 19:00:00+00:00,9,150,147.27388329478725,205.03231543313012,233.51197303795217,281.41845199303657,301.89672452681475,319.80583716920114,344.8041393161847,364.4552779525728,389.68515511627055,409.39184721443627,430.6993784453093,450.20580552384973,479.35908773446306,501.3361863895919,530.1597082237299,577.0339270739918,609.6386846803543,663.8220324174935,752.0446471601811,960.8396320421094,431.28722389572147
2025-07-20 19:15:00+00:00,10,165,,,,,,,,,,,,,,,,,,,,81.09225728389886,
2025-07-20 19:30:00+00:00,11,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 19:45:00+00:00,12,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 20:00:00+00:00,13,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 20:15:00+00:00,14,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 20:30:00+00:00,15,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 20:45:00+00:00,16,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 21:00:00+00:00,17,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 21:15:00+00:00,18,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 21:30:00+00:00,19,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 21:45:00+00:00,20,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 22:00:00+00:00,21,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 22:15:00+00:00,22,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 22:30:00+00:00,23,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 22:45:00+00:00,24,375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 23:00:00+00:00,25,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 23:15:00+00:00,26,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 23:30:00+00:00,27,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 23:45:00+00:00,28,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-21 00:00:00+00:00,29,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
