measure_date_CET,Long,Short
2024-01-01 01:00:00+01:00,79.13,79.13
2024-01-01 01:15:00+01:00,80.89,80.89
2024-01-01 01:30:00+01:00,75.15,75.15
2024-01-01 01:45:00+01:00,75.15,75.15
2024-01-01 02:00:00+01:00,89.45,89.45
2024-01-01 02:15:00+01:00,88.67,88.67
2024-01-01 02:30:00+01:00,85.15,85.15
2024-01-01 02:45:00+01:00,75.15,75.15
2024-01-01 03:00:00+01:00,95.74,95.74
2024-01-01 03:15:00+01:00,100.87,100.87
2024-01-01 03:30:00+01:00,75.15,75.15
2024-01-01 03:45:00+01:00,75.15,75.15
2024-01-01 04:00:00+01:00,75.15,75.15
2024-01-01 04:15:00+01:00,2.23,2.23
2024-01-01 04:30:00+01:00,1.66,1.66
2024-01-01 04:45:00+01:00,88.52,88.52
2024-01-01 05:00:00+01:00,101.29,101.29
2024-01-01 05:15:00+01:00,96.26,96.26
2024-01-01 05:30:00+01:00,102.33,102.33
2024-01-01 05:45:00+01:00,105.58,105.58
2024-01-01 06:00:00+01:00,-11.0,-11.0
2024-01-01 06:15:00+01:00,113.55,113.55
2024-01-01 06:30:00+01:00,-55.87,-55.87
2024-01-01 06:45:00+01:00,75.15,75.15
2024-01-01 07:00:00+01:00,75.15,75.15
2024-01-01 07:15:00+01:00,75.15,75.15
2024-01-01 07:30:00+01:00,-59.16,-59.16
2024-01-01 07:45:00+01:00,-59.17,-59.17
2024-01-01 08:00:00+01:00,-58.92,-58.92
2024-01-01 08:15:00+01:00,-57.68,-57.68
2024-01-01 08:30:00+01:00,-42.74,-42.74
2024-01-01 08:45:00+01:00,-38.94,-38.94
2024-01-01 09:00:00+01:00,-20.4,-20.4
2024-01-01 09:15:00+01:00,-6.92,-6.92
2024-01-01 09:30:00+01:00,84.9,84.9
2024-01-01 09:45:00+01:00,-29.21,-29.21
2024-01-01 10:00:00+01:00,84.35,84.35
2024-01-01 10:15:00+01:00,-47.64,-47.64
2024-01-01 10:30:00+01:00,-60.49,-60.49
2024-01-01 10:45:00+01:00,-68.86,-68.86
2024-01-01 11:00:00+01:00,75.15,75.15
2024-01-01 11:15:00+01:00,75.15,75.15
2024-01-01 11:30:00+01:00,-33.41,-33.41
2024-01-01 11:45:00+01:00,-55.75,-55.75
2024-01-01 12:00:00+01:00,-38.46,-38.46
2024-01-01 12:15:00+01:00,-42.23,-42.23
2024-01-01 12:30:00+01:00,-46.02,-46.02
2024-01-01 12:45:00+01:00,83.07,83.07
2024-01-01 13:00:00+01:00,104.64,104.64
2024-01-01 13:15:00+01:00,119.0,119.0
2024-01-01 13:30:00+01:00,99.71,99.71
2024-01-01 13:45:00+01:00,116.19,116.19
2024-01-01 14:00:00+01:00,114.32,114.32
2024-01-01 14:15:00+01:00,135.09,135.09
