measure_date_CET,da_price
2025-10-01 00:00:00+02:00,102.6
2025-10-01 00:15:00+02:00,92.24
2025-10-01 00:30:00+02:00,86.03
2025-10-01 00:45:00+02:00,85.39
2025-10-01 01:00:00+02:00,89.99
2025-10-01 01:15:00+02:00,86.03
2025-10-01 01:30:00+02:00,85.03
2025-10-01 01:45:00+02:00,84.09
2025-10-01 02:00:00+02:00,85.41
2025-10-01 02:15:00+02:00,85.0
2025-10-01 02:30:00+02:00,84.54
2025-10-01 02:45:00+02:00,84.54
2025-10-01 03:00:00+02:00,87.39
2025-10-01 03:15:00+02:00,87.36
2025-10-01 03:30:00+02:00,88.56
2025-10-01 03:45:00+02:00,89.99
2025-10-01 04:00:00+02:00,86.31
2025-10-01 04:15:00+02:00,89.06
2025-10-01 04:30:00+02:00,86.42
2025-10-01 04:45:00+02:00,88.83
2025-10-01 05:00:00+02:00,84.26
2025-10-01 05:15:00+02:00,90.76
2025-10-01 05:30:00+02:00,97.55
2025-10-01 05:45:00+02:00,108.74
2025-10-01 06:00:00+02:00,97.03
2025-10-01 06:15:00+02:00,117.49
2025-10-01 06:30:00+02:00,133.23
2025-10-01 06:45:00+02:00,152.09
2025-10-01 07:00:00+02:00,160.95
2025-10-01 07:15:00+02:00,181.48
2025-10-01 07:30:00+02:00,180.23
2025-10-01 07:45:00+02:00,170.54
2025-10-01 08:00:00+02:00,200.25
2025-10-01 08:15:00+02:00,143.35
2025-10-01 08:30:00+02:00,117.5
2025-10-01 08:45:00+02:00,95.25
2025-10-01 09:00:00+02:00,139.48
2025-10-01 09:15:00+02:00,105.01
2025-10-01 09:30:00+02:00,93.66
2025-10-01 09:45:00+02:00,82.85
2025-10-01 10:00:00+02:00,103.22
2025-10-01 10:15:00+02:00,93.06
2025-10-01 10:30:00+02:00,81.21
2025-10-01 10:45:00+02:00,66.65
2025-10-01 11:00:00+02:00,83.5
2025-10-01 11:15:00+02:00,72.08
2025-10-01 11:30:00+02:00,65.32
2025-10-01 11:45:00+02:00,61.37
2025-10-01 12:00:00+02:00,68.21
2025-10-01 12:15:00+02:00,65.22
2025-10-01 12:30:00+02:00,65.45
2025-10-01 12:45:00+02:00,65.22
2025-10-01 13:00:00+02:00,65.6
2025-10-01 13:15:00+02:00,67.72
2025-10-01 13:30:00+02:00,69.44
2025-10-01 13:45:00+02:00,70.84
2025-10-01 14:00:00+02:00,64.49
2025-10-01 14:15:00+02:00,70.25
2025-10-01 14:30:00+02:00,74.63
2025-10-01 14:45:00+02:00,81.14
2025-10-01 15:00:00+02:00,65.3
2025-10-01 15:15:00+02:00,74.63
2025-10-01 15:30:00+02:00,88.02
2025-10-01 15:45:00+02:00,98.94
2025-10-01 16:00:00+02:00,62.15
2025-10-01 16:15:00+02:00,89.53
2025-10-01 16:30:00+02:00,103.08
2025-10-01 16:45:00+02:00,116.72
2025-10-01 17:00:00+02:00,85.49
2025-10-01 17:15:00+02:00,115.87
2025-10-01 17:30:00+02:00,144.98
2025-10-01 17:45:00+02:00,195.26
2025-10-01 18:00:00+02:00,146.95
2025-10-01 18:15:00+02:00,200.0
2025-10-01 18:30:00+02:00,285.0
2025-10-01 18:45:00+02:00,381.0
2025-10-01 19:00:00+02:00,408.5
2025-10-01 19:15:00+02:00,376.39
2025-10-01 19:30:00+02:00,321.94
2025-10-01 19:45:00+02:00,253.14
2025-10-01 20:00:00+02:00,218.02
2025-10-01 20:15:00+02:00,155.25
2025-10-01 20:30:00+02:00,126.82
2025-10-01 20:45:00+02:00,108.0
2025-10-01 21:00:00+02:00,130.68
2025-10-01 21:15:00+02:00,121.4
2025-10-01 21:30:00+02:00,102.98
2025-10-01 21:45:00+02:00,97.08
2025-10-01 22:00:00+02:00,108.84
2025-10-01 22:15:00+02:00,101.51
2025-10-01 22:30:00+02:00,95.36
2025-10-01 22:45:00+02:00,88.33
2025-10-01 23:00:00+02:00,94.57
2025-10-01 23:15:00+02:00,91.55
