measure_date,imbalance
2025-09-30 22:00:00+00:00,1.76
2025-09-30 22:15:00+00:00,24.31
2025-09-30 22:30:00+00:00,7.65
2025-09-30 22:45:00+00:00,9.1
2025-09-30 23:00:00+00:00,15.32
2025-09-30 23:15:00+00:00,9.9
2025-09-30 23:30:00+00:00,18.01
2025-09-30 23:45:00+00:00,47.98
2025-10-01 00:00:00+00:00,23.03
2025-10-01 00:15:00+00:00,0.18
2025-10-01 00:30:00+00:00,22.76
2025-10-01 00:45:00+00:00,6.77
2025-10-01 01:00:00+00:00,29.04
2025-10-01 01:15:00+00:00,22.94
2025-10-01 01:30:00+00:00,17.81
2025-10-01 01:45:00+00:00,46.39
2025-10-01 02:00:00+00:00,19.39
2025-10-01 02:15:00+00:00,1.59
2025-10-01 02:30:00+00:00,1.31
2025-10-01 02:45:00+00:00,6.14
2025-10-01 03:00:00+00:00,7.96
2025-10-01 03:15:00+00:00,-7.94
2025-10-01 03:30:00+00:00,-36.26
2025-10-01 03:45:00+00:00,-43.84
2025-10-01 04:00:00+00:00,-7.06
2025-10-01 04:15:00+00:00,-65.86
2025-10-01 04:30:00+00:00,-68.2
2025-10-01 04:45:00+00:00,-65.64
2025-10-01 05:00:00+00:00,-10.92
2025-10-01 05:15:00+00:00,-24.25
2025-10-01 05:30:00+00:00,-6.3
2025-10-01 05:45:00+00:00,-21.9
2025-10-01 06:00:00+00:00,-28.17
2025-10-01 06:15:00+00:00,-97.67
2025-10-01 06:30:00+00:00,-113.01
2025-10-01 06:45:00+00:00,-119.11
2025-10-01 07:00:00+00:00,-84.1
2025-10-01 07:15:00+00:00,-152.85
2025-10-01 07:30:00+00:00,-162.51
2025-10-01 07:45:00+00:00,-188.86
2025-10-01 08:00:00+00:00,-179.58
2025-10-01 08:15:00+00:00,-233.89
2025-10-01 08:30:00+00:00,-230.8
2025-10-01 08:45:00+00:00,-289.72
2025-10-01 09:00:00+00:00,-218.32
2025-10-01 09:15:00+00:00,-295.46
2025-10-01 09:30:00+00:00,-289.18
2025-10-01 09:45:00+00:00,-254.58
2025-10-01 10:00:00+00:00,-231.6
2025-10-01 10:15:00+00:00,-242.46
2025-10-01 10:30:00+00:00,-232.1
2025-10-01 10:45:00+00:00,-263.27
2025-10-01 11:00:00+00:00,-265.63
2025-10-01 11:15:00+00:00,-306.28
2025-10-01 11:30:00+00:00,-409.87
2025-10-01 11:45:00+00:00,-469.03
2025-10-01 12:00:00+00:00,-546.91
2025-10-01 12:15:00+00:00,-535.19
2025-10-01 12:30:00+00:00,-494.5
2025-10-01 12:45:00+00:00,-503.21
2025-10-01 13:00:00+00:00,-539.9
2025-10-01 13:15:00+00:00,-533.06
2025-10-01 13:30:00+00:00,-455.62
2025-10-01 13:45:00+00:00,-472.12
2025-10-01 14:00:00+00:00,-435.37
2025-10-01 14:15:00+00:00,-440.2
2025-10-01 14:30:00+00:00,-367.99
2025-10-01 14:45:00+00:00,-335.42
2025-10-01 15:00:00+00:00,-311.21
2025-10-01 15:15:00+00:00,-250.27
2025-10-01 15:30:00+00:00,-189.9
2025-10-01 15:45:00+00:00,-121.2
2025-10-01 16:00:00+00:00,-116.78
2025-10-01 16:15:00+00:00,-77.87
2025-10-01 16:30:00+00:00,-50.96
2025-10-01 16:45:00+00:00,-92.6
2025-10-01 17:00:00+00:00,-70.92
2025-10-01 17:15:00+00:00,-95.43
2025-10-01 17:30:00+00:00,-79.07
2025-10-01 17:45:00+00:00,-116.09
2025-10-01 18:00:00+00:00,-116.89
2025-10-01 18:15:00+00:00,-129.76
2025-10-01 18:30:00+00:00,-110.4
2025-10-01 18:45:00+00:00,-94.46
2025-10-01 19:00:00+00:00,-119.96
2025-10-01 19:15:00+00:00,-105.01
2025-10-01 19:30:00+00:00,-66.37
2025-10-01 19:45:00+00:00,-45.62
2025-10-01 20:00:00+00:00,-52.55
2025-10-01 20:15:00+00:00,-78.26
2025-10-01 20:30:00+00:00,-96.61
