measure_date,Long,Short
2025-09-30 22:00:00+00:00,133.58,133.58
2025-09-30 22:15:00+00:00,132.26,132.26
2025-09-30 22:30:00+00:00,133.65,133.65
2025-09-30 22:45:00+00:00,132.53,132.53
2025-09-30 23:00:00+00:00,107.24,107.24
2025-09-30 23:15:00+00:00,102.24,102.24
2025-09-30 23:30:00+00:00,118.3,118.3
2025-09-30 23:45:00+00:00,85.21,85.21
2025-10-01 00:00:00+00:00,87.35,87.35
2025-10-01 00:15:00+00:00,102.57,102.57
2025-10-01 00:30:00+00:00,105.07,105.07
2025-10-01 00:45:00+00:00,113.39,113.39
2025-10-01 01:00:00+00:00,147.15,147.15
2025-10-01 01:15:00+00:00,148.62,148.62
2025-10-01 01:30:00+00:00,151.94,151.94
2025-10-01 01:45:00+00:00,115.57,115.57
2025-10-01 02:00:00+00:00,124.81,124.81
2025-10-01 02:15:00+00:00,118.92,118.92
2025-10-01 02:30:00+00:00,107.0,107.0
2025-10-01 02:45:00+00:00,125.37,125.37
2025-10-01 03:00:00+00:00,118.98,118.98
2025-10-01 03:15:00+00:00,116.22,116.22
2025-10-01 03:30:00+00:00,153.65,153.65
2025-10-01 03:45:00+00:00,157.4,157.4
2025-10-01 04:00:00+00:00,157.11,157.11
2025-10-01 04:15:00+00:00,151.34,151.34
2025-10-01 04:30:00+00:00,208.43,208.43
2025-10-01 04:45:00+00:00,229.65,229.65
2025-10-01 05:00:00+00:00,241.88,241.88
2025-10-01 05:15:00+00:00,347.61,347.61
2025-10-01 05:30:00+00:00,99.76,99.76
2025-10-01 05:45:00+00:00,244.52,244.52
2025-10-01 06:00:00+00:00,105.24,105.24
2025-10-01 06:15:00+00:00,109.45,109.45
2025-10-01 06:30:00+00:00,54.52,54.52
2025-10-01 06:45:00+00:00,44.12,44.12
2025-10-01 07:00:00+00:00,124.79,124.79
2025-10-01 07:15:00+00:00,122.0,122.0
2025-10-01 07:30:00+00:00,109.04,109.04
2025-10-01 07:45:00+00:00,103.79,103.79
2025-10-01 08:00:00+00:00,138.88,138.88
2025-10-01 08:15:00+00:00,140.11,140.11
2025-10-01 08:30:00+00:00,99.09,99.09
2025-10-01 08:45:00+00:00,41.29,41.29
2025-10-01 09:00:00+00:00,17.97,17.97
2025-10-01 09:15:00+00:00,56.0,56.0
2025-10-01 09:30:00+00:00,53.98,53.98
2025-10-01 09:45:00+00:00,3.51,3.51
2025-10-01 10:00:00+00:00,29.32,29.32
2025-10-01 10:15:00+00:00,-0.66,-0.66
2025-10-01 10:30:00+00:00,14.22,14.22
2025-10-01 10:45:00+00:00,12.26,12.26
2025-10-01 11:00:00+00:00,-3.26,-3.26
2025-10-01 11:15:00+00:00,4.32,4.32
2025-10-01 11:30:00+00:00,55.1,55.1
2025-10-01 11:45:00+00:00,83.97,83.97
2025-10-01 12:00:00+00:00,92.29,92.29
2025-10-01 12:15:00+00:00,92.38,92.38
2025-10-01 12:30:00+00:00,110.88,110.88
2025-10-01 12:45:00+00:00,111.38,111.38
2025-10-01 13:00:00+00:00,47.14,47.14
2025-10-01 13:15:00+00:00,57.88,57.88
2025-10-01 13:30:00+00:00,67.04,67.04
2025-10-01 13:45:00+00:00,101.61,101.61
2025-10-01 14:00:00+00:00,101.84,101.84
2025-10-01 14:15:00+00:00,127.32,127.32
2025-10-01 14:30:00+00:00,87.65,87.65
2025-10-01 14:45:00+00:00,87.43,87.43
2025-10-01 15:00:00+00:00,146.19,146.19
2025-10-01 15:15:00+00:00,59.81,59.81
2025-10-01 15:30:00+00:00,92.81,92.81
2025-10-01 15:45:00+00:00,122.97,122.97
2025-10-01 16:00:00+00:00,72.73,72.73
2025-10-01 16:15:00+00:00,133.66,133.66
2025-10-01 16:30:00+00:00,172.15,172.15
2025-10-01 16:45:00+00:00,136.16,136.16
2025-10-01 17:00:00+00:00,124.55,124.55
2025-10-01 17:15:00+00:00,142.27,142.27
2025-10-01 17:30:00+00:00,129.94,129.94
2025-10-01 17:45:00+00:00,113.83,113.83
2025-10-01 18:00:00+00:00,138.98,138.98
2025-10-01 18:15:00+00:00,99.2,99.2
2025-10-01 18:30:00+00:00,67.65,67.65
2025-10-01 18:45:00+00:00,71.87,71.87
2025-10-01 19:00:00+00:00,119.97,119.97
2025-10-01 19:15:00+00:00,96.03,96.03
2025-10-01 19:30:00+00:00,72.82,72.82
2025-10-01 19:45:00+00:00,77.01,77.01
2025-10-01 20:00:00+00:00,72.18,72.18
2025-10-01 20:15:00+00:00,53.63,53.63
2025-10-01 20:30:00+00:00,63.68,63.68
2025-10-01 20:45:00+00:00,68.03,68.03
2025-10-01 21:00:00+00:00,88.3,88.3
2025-10-01 21:15:00+00:00,95.4,95.4
2025-10-01 21:30:00+00:00,94.33,94.33
2025-10-01 21:45:00+00:00,84.02,84.02
2025-10-01 22:00:00+00:00,65.89,65.89
2025-10-01 22:15:00+00:00,70.46,70.46
2025-10-01 22:30:00+00:00,76.88,76.88
2025-10-01 22:45:00+00:00,85.54,85.54
2025-10-01 23:00:00+00:00,87.99,87.99
2025-10-01 23:15:00+00:00,82.22,82.22
2025-10-01 23:30:00+00:00,96.03,96.03
2025-10-01 23:45:00+00:00,90.9,90.9
2025-10-02 00:00:00+00:00,75.85,75.85
2025-10-02 00:15:00+00:00,61.8,61.8
2025-10-02 00:30:00+00:00,62.96,62.96
2025-10-02 00:45:00+00:00,68.04,68.04
2025-10-02 01:00:00+00:00,71.71,71.71
2025-10-02 01:15:00+00:00,71.16,71.16
2025-10-02 01:30:00+00:00,61.16,61.16
2025-10-02 01:45:00+00:00,60.22,60.22
2025-10-02 02:00:00+00:00,76.02,76.02
2025-10-02 02:15:00+00:00,57.37,57.37
2025-10-02 02:30:00+00:00,68.35,68.35
2025-10-02 02:45:00+00:00,67.64,67.64
2025-10-02 03:00:00+00:00,64.61,64.61
2025-10-02 03:15:00+00:00,71.61,71.61
2025-10-02 03:30:00+00:00,83.86,83.86
2025-10-02 03:45:00+00:00,106.17,106.17
2025-10-02 04:00:00+00:00,30.5,30.5
2025-10-02 04:15:00+00:00,101.43,101.43
2025-10-02 04:30:00+00:00,122.5,122.5
2025-10-02 04:45:00+00:00,127.14,127.14
2025-10-02 05:00:00+00:00,145.22,145.22
2025-10-02 05:15:00+00:00,144.15,144.15
2025-10-02 05:30:00+00:00,144.58,144.58
2025-10-02 05:45:00+00:00,158.65,158.65
2025-10-02 06:00:00+00:00,178.75,178.75
2025-10-02 06:15:00+00:00,176.76,176.76
2025-10-02 06:30:00+00:00,201.31,201.31
2025-10-02 06:45:00+00:00,234.78,234.78
2025-10-02 07:00:00+00:00,213.38,213.38
2025-10-02 07:15:00+00:00,110.65,110.65
2025-10-02 07:30:00+00:00,141.95,141.95
2025-10-02 07:45:00+00:00,197.59,197.59
2025-10-02 08:00:00+00:00,203.95,203.95
2025-10-02 08:15:00+00:00,169.51,169.51
2025-10-02 08:30:00+00:00,-70.81,-70.81
2025-10-02 08:45:00+00:00,131.98,131.98
2025-10-02 09:00:00+00:00,6.19,6.19
2025-10-02 09:15:00+00:00,-35.17,-35.17
2025-10-02 09:30:00+00:00,-20.56,-20.56
2025-10-02 09:45:00+00:00,-29.76,-29.76
2025-10-02 10:00:00+00:00,-13.06,-13.06
2025-10-02 10:15:00+00:00,-19.17,-19.17
2025-10-02 10:30:00+00:00,-19.17,-19.17
2025-10-02 10:45:00+00:00,-24.57,-24.57
2025-10-02 11:00:00+00:00,-18.27,-18.27
2025-10-02 11:15:00+00:00,-29.79,-29.79
2025-10-02 11:30:00+00:00,-31.71,-31.71
2025-10-02 11:45:00+00:00,-29.37,-29.37
2025-10-02 12:00:00+00:00,0.0,0.0
2025-10-02 12:15:00+00:00,-7.48,-7.48
2025-10-02 12:30:00+00:00,8.89,8.89
2025-10-02 12:45:00+00:00,-6.11,-6.11
2025-10-02 13:00:00+00:00,24.05,24.05
2025-10-02 13:15:00+00:00,95.41,95.41
2025-10-02 13:30:00+00:00,87.5,87.5
2025-10-02 13:45:00+00:00,73.14,73.14
2025-10-02 14:00:00+00:00,45.14,45.14
2025-10-02 14:15:00+00:00,40.42,40.42
2025-10-02 14:30:00+00:00,52.54,52.54
2025-10-02 14:45:00+00:00,46.8,46.8
2025-10-02 15:00:00+00:00,19.8,19.8
2025-10-02 15:15:00+00:00,166.78,166.78
2025-10-02 15:30:00+00:00,107.74,107.74
2025-10-02 15:45:00+00:00,149.03,149.03
2025-10-02 16:00:00+00:00,82.29,82.29
2025-10-02 16:15:00+00:00,144.15,144.15
2025-10-02 16:30:00+00:00,106.58,106.58
2025-10-02 16:45:00+00:00,71.97,71.97
2025-10-02 17:00:00+00:00,101.95,101.95
2025-10-02 17:15:00+00:00,86.13,86.13
2025-10-02 17:30:00+00:00,100.57,100.57
2025-10-02 17:45:00+00:00,102.56,102.56
2025-10-02 18:00:00+00:00,86.75,86.75
2025-10-02 18:15:00+00:00,61.3,61.3
2025-10-02 18:30:00+00:00,51.84,51.84
2025-10-02 18:45:00+00:00,50.31,50.31
2025-10-02 19:00:00+00:00,73.2,73.2
2025-10-02 19:15:00+00:00,74.68,74.68
2025-10-02 19:30:00+00:00,118.07,118.07
2025-10-02 19:45:00+00:00,69.93,69.93
2025-10-02 20:00:00+00:00,114.45,114.45
2025-10-02 20:15:00+00:00,78.8,78.8
2025-10-02 20:30:00+00:00,102.98,102.98
2025-10-02 20:45:00+00:00,124.13,124.13
2025-10-02 21:00:00+00:00,127.82,127.82
2025-10-02 21:15:00+00:00,157.54,157.54
2025-10-02 21:30:00+00:00,123.73,123.73
2025-10-02 21:45:00+00:00,104.01,104.01
2025-10-02 22:00:00+00:00,92.89,92.89
2025-10-02 22:15:00+00:00,115.98,115.98
2025-10-02 22:30:00+00:00,82.72,82.72
2025-10-02 22:45:00+00:00,87.28,87.28
2025-10-02 23:00:00+00:00,66.68,66.68
2025-10-02 23:15:00+00:00,106.85,106.85
2025-10-02 23:30:00+00:00,60.72,60.72
2025-10-02 23:45:00+00:00,107.75,107.75
2025-10-03 00:00:00+00:00,68.06,68.06
2025-10-03 00:15:00+00:00,96.78,96.78
2025-10-03 00:30:00+00:00,116.9,116.9
2025-10-03 00:45:00+00:00,98.91,98.91
2025-10-03 01:00:00+00:00,87.99,87.99
2025-10-03 01:15:00+00:00,64.4,64.4
2025-10-03 01:30:00+00:00,53.47,53.47
2025-10-03 01:45:00+00:00,63.03,63.03
2025-10-03 02:00:00+00:00,109.74,109.74
2025-10-03 02:15:00+00:00,101.28,101.28
2025-10-03 02:30:00+00:00,77.62,77.62
2025-10-03 02:45:00+00:00,83.34,83.34
2025-10-03 03:00:00+00:00,120.13,120.13
2025-10-03 03:15:00+00:00,122.09,122.09
2025-10-03 03:30:00+00:00,109.64,109.64
2025-10-03 03:45:00+00:00,128.41,128.41
2025-10-03 04:00:00+00:00,115.47,115.47
2025-10-03 04:15:00+00:00,135.85,135.85
2025-10-03 04:30:00+00:00,140.51,140.51
2025-10-03 04:45:00+00:00,147.5,147.5
