horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-09-04 07:15:00+00:00,0,15,26657.69935883955,27252.94071174077,27796.268550536948,28168.904134456785,28388.358687633146,28565.940894265404,28795.049214285027,29052.2233850217,29302.81290615632,29441.396035419075,29579.979164681823,29803.502157664498,30028.978644517836,30201.499329868846,30372.415279897898,30541.644190639763,30782.6633325427,31175.949996548537,31540.075899278214,41510.826265415875,28750.700103938078
2025-09-04 07:30:00+00:00,1,30,25936.77888025208,29479.206987599573,30407.998482208885,31189.441081646477,31540.07181139936,31790.14325545001,32061.101685372374,32363.179047490103,32630.59523809716,32835.78586598556,33142.804419389926,33389.86060574952,33562.55366876307,33753.660143697925,33967.5197014599,34283.814873098796,34777.8295494384,35072.51869849054,35715.57711784503,46013.27971370571,31921.13978615303
2025-09-04 07:45:00+00:00,2,45,25136.68312871875,32758.716385094598,33764.355717425555,34403.95949056644,34772.20466983204,35103.8739976887,35411.49955108745,35687.97820303483,35922.178350668815,36236.7401885959,36525.32651911114,36707.93174270224,36908.14876416713,37201.814706437384,37536.04595185803,38025.669854356456,38510.926030899805,38945.65922713961,39627.82558245912,50354.93778014682,35105.672696283276
2025-09-04 08:00:00+00:00,3,60,26614.673396721762,34930.898811872445,36165.298343504095,37110.91387903979,37537.574846517,37903.90475658692,38234.07123127889,38542.574243899544,38849.86430724541,39130.68981898223,39391.56803042394,39626.012995514786,39854.3483895151,40307.19554416515,40893.1988301918,41416.51376719742,41841.31318363597,42205.066183822295,42882.99187094945,54502.01151116957,37919.923551023625
2025-09-04 08:15:00+00:00,4,75,20044.476334969535,37122.40686393597,38219.33775309817,39177.46118423423,39744.390781783695,40292.76931608838,40698.14404587263,41088.26476224063,41425.25175466406,41724.426387069325,42001.18927554912,42230.32023901457,42451.80099414961,42832.97263170822,43377.90580765794,44025.85579949588,44506.20616940976,44923.53984497738,45578.704277484394,58424.62010521941,39897.28664453339
2025-09-04 08:30:00+00:00,5,90,19650.80705821286,38663.475399446,40327.40507485255,41350.27881566533,41908.29225551937,42484.71427668531,42890.629502683085,43281.22904020836,43652.22294805019,43997.476005397424,44299.395196619414,44558.13191573374,44785.808743434805,45099.57310954281,45646.19824613528,46242.33805683054,46809.818976984054,47303.390448270955,47940.815994502576,62096.121197552704,41937.815576019086
2025-09-04 08:45:00+00:00,6,105,12868.832239748614,34475.94367511328,40682.02292628569,42013.49830610901,43314.08234963519,43914.58709359519,44435.33234766068,44834.98140298862,45166.66911355596,45555.10044678681,45958.48966790002,46276.76448087951,46571.10351712997,46847.53377079182,47263.70512411059,47893.46935874928,48572.549559486615,49110.99887521316,49645.38508848898,65492.66790813896,42732.41158814762
2025-09-04 09:00:00+00:00,7,120,12216.100626844933,35715.584271745916,42416.856771345636,43643.52739508268,45215.13722710465,45648.54184200538,46023.46673875304,46394.346845954555,46784.45533591575,47210.44029678933,47681.946012594264,48094.66000049866,48374.85058682889,48626.222578971385,49008.524303027276,49557.41977522119,50310.75080593629,50973.763425889185,51515.2861579606,68377.01388901164,44272.69445351972
2025-09-04 09:15:00+00:00,8,135,12672.762456978604,24453.986806783072,33885.160980960674,37270.84089541485,42153.453478515075,44121.982186635134,46179.88978970379,47624.914219598184,48064.974498229516,48474.18623540535,48947.6279349192,49449.86102491199,49902.03340077917,50499.6271021316,50809.51393583449,51158.188417779245,51672.46618881984,52748.09092145495,53513.68184678833,71045.66442174863,43781.798583282405
2025-09-04 09:30:00+00:00,9,150,13152.53889302451,24024.634369951098,33016.17162761302,38225.77798206151,41665.13919869894,45133.75781780744,46912.84496353886,48597.256861640315,49194.834493088754,49726.75212235445,50288.91838869698,50743.14640497034,51184.05252254458,51728.16642476149,52178.33475442549,52577.76664574371,53009.2042441158,53922.179230702524,54882.99779933612,73488.85565424136,44551.72123228862
