h,MAE,Count
1,168.76995004873294,720.0
2,172.6926743943191,720.0
3,188.58446376357557,720.0
4,177.21001652253025,719.0
5,168.80057584852256,719.0
6,172.77102701119975,719.0
7,188.83065713658274,719.0
8,177.4221574130312,718.0
9,168.8913745017139,718.0
10,173.0105111315894,718.0
11,189.08974778520118,718.0
12,177.61230088820378,717.0
13,168.9306232806563,717.0
14,173.23621816046392,717.0
15,189.29240334098841,717.0
16,177.69937413365818,716.0
17,169.15286776648327,716.0
18,173.35112309404798,716.0
19,189.5281718612173,716.0
20,177.70297465692204,715.0
21,169.31419545366913,715.0
22,173.4336821073663,715.0
23,189.64631815552866,715.0
24,177.62055085191972,714.0
25,169.24540781224775,714.0
26,173.500140845812,714.0
27,189.69124097007224,714.0
28,177.7388325301332,713.0
29,169.32827554510402,713.0
30,173.6074091259003,713.0
31,189.85229861118435,713.0
32,177.42280560952943,712.0
33,168.9846104024105,712.0
34,173.2375007920081,712.0
35,189.5011932922193,712.0
36,176.82484692744518,711.0
37,168.57919896435885,711.0
38,172.87378520140012,711.0
39,189.18875775937738,711.0
40,176.61129540400296,710.0
41,168.30574411380564,710.0
42,172.74951286667374,710.0
43,189.15444112040666,710.0
44,176.44696013658972,709.0
45,168.25343506863067,709.0
46,172.73074832709418,709.0
47,189.30492088825733,709.0
48,176.54260253387704,708.0
49,168.29455170411907,708.0
50,172.74782161972726,708.0
51,189.26930939637228,708.0
52,176.57931161000096,707.0
53,168.34255369683046,707.0
54,172.71612021567353,707.0
55,189.21937712031138,707.0
56,176.47756741357642,706.0
57,168.12349215815743,706.0
58,172.59757263200493,706.0
59,189.1794966346461,706.0
60,176.65045859329175,705.0
61,168.3331151460211,705.0
62,172.77701701061164,705.0
63,189.30335812936596,705.0
64,176.8590986521702,704.0
65,168.53541969269764,704.0
66,172.98989528152768,704.0
67,189.4951952857997,704.0
68,177.0831920662253,703.0
69,168.305994360011,703.0
70,172.90633589664063,703.0
71,189.38817260077653,703.0
72,176.9723775250091,702.0
73,168.1821679376504,702.0
74,172.83375639954588,702.0
75,189.5744449264186,702.0
76,176.89950848948334,701.0
77,168.33025234269698,701.0
78,173.0290307616402,701.0
79,189.6867377967029,701.0
80,176.54467105263157,700.0
81,168.17261188686,700.0
82,172.94713345864662,700.0
83,189.82491272824916,700.0
84,176.72989743672485,699.0
85,168.36573640825955,699.0
86,173.0398945324685,699.0
87,189.8741462024159,699.0
88,176.75478676993342,698.0
89,168.3557968165399,698.0
90,173.10390993601482,698.0
91,189.8882413770817,698.0
92,175.75775746755698,697.0
93,167.9855705440071,697.0
94,172.52745250860292,697.0
95,189.21695918418715,697.0
96,175.25582139616282,696.0
97,168.12161555109037,696.0
98,171.8743990903984,696.0
99,188.44934894708038,696.0
100,174.85819359549956,695.0
101,167.94589125691928,695.0
102,171.7840847622654,695.0
103,188.2551342384739,695.0
104,174.74575171718922,694.0
105,167.9132381566308,694.0
106,171.81717216311674,694.0
107,188.27395081724484,694.0
108,174.8246210765008,693.0
109,168.02747082352343,693.0
110,171.99465519860254,693.0
111,188.52718059578962,693.0
112,174.73727535964187,692.0
113,168.0749145261999,692.0
114,171.93390222304316,692.0
115,188.59082949425587,692.0
116,174.74973885509723,691.0
117,168.17516249016174,691.0
118,172.14700689857784,691.0
119,188.68712075050144,691.0
120,174.78785959463875,690.0
121,168.29777659729035,690.0
122,172.26023755039773,690.0
123,188.82662589444624,690.0
124,174.86924359156234,689.0
125,168.40439269436288,689.0
126,172.33611286925586,689.0
127,188.89147896955743,689.0
128,174.63685877120128,688.0
129,168.39623358905988,688.0
130,172.50523201171535,688.0
131,189.10620391822582,688.0
132,174.5512813146403,687.0
133,168.51941899873412,687.0
134,172.58579171728448,687.0
135,189.19754170725213,687.0
136,174.66222133321642,686.0
137,168.5147357278035,686.0
138,172.70748070979198,686.0
139,189.2758960995784,686.0
140,174.84293260523572,685.0
141,168.5087614108263,685.0
142,172.89399319466548,685.0
143,189.32661169346724,685.0
144,175.0536208943411,684.0
145,168.60181933268845,684.0
146,172.90647397001277,684.0
147,189.20796325609342,684.0
148,174.5655431587754,683.0
149,168.121524987432,683.0
150,172.4087685355409,683.0
151,188.79475592348368,683.0
152,173.74586025180253,682.0
153,167.51319877773614,682.0
154,171.73401704407647,682.0
155,188.04280541897262,682.0
156,172.78599996687754,681.0
157,166.6774461852134,681.0
158,170.86859080520685,681.0
159,187.37347452699296,681.0
160,172.55661488279523,680.0
161,166.75210314388914,680.0
162,170.93470532950022,680.0
163,187.47292081306205,680.0
164,172.75283754304758,679.0
165,166.90316872815325,679.0
166,171.10505414862635,679.0
167,187.20223607619934,679.0
168,172.6475688668574,678.0
169,167.09442392855294,678.0
170,171.16989514715993,678.0
171,187.34209925625274,678.0
172,172.7815439633056,677.0
173,167.2457820141195,677.0
174,171.38292833264845,677.0
175,187.61017156998847,677.0
176,173.02636027939673,676.0
177,167.28856951921225,676.0
178,171.2789935267162,676.0
179,187.40983792691787,676.0
180,173.24407128933444,675.0
181,167.50058433119838,675.0
182,171.34178780284043,675.0
183,187.5206831894551,675.0
184,173.2424198478392,674.0
185,167.18633657586102,674.0
186,171.0212902434127,674.0
187,187.20983002759124,674.0
188,173.461674245048,673.0
189,167.40295296189956,673.0
190,170.9055793272185,673.0
191,186.76768723443078,673.0
192,173.25535938059434,672.0
