origin_ts,h,target_ts,y_true,y_pred,pred_state,correctness,correctness_label
2025-09-05 00:00:00+00:00,1,2025-09-05 00:15:00+00:00,-86.0,-96.7487577365319,-1,True,correct
2025-09-05 00:15:00+00:00,1,2025-09-05 00:30:00+00:00,-190.0,-21.073461214292387,-1,True,correct
2025-09-05 00:30:00+00:00,1,2025-09-05 00:45:00+00:00,31.0,13.346584042992507,1,True,correct
2025-09-05 00:45:00+00:00,1,2025-09-05 01:00:00+00:00,39.0,-57.427599581838024,-1,False,incorrect
2025-09-05 01:00:00+00:00,1,2025-09-05 01:15:00+00:00,13.0,32.69884758926132,1,True,correct
2025-09-05 01:15:00+00:00,1,2025-09-05 01:30:00+00:00,4.0,27.727800551505144,1,True,correct
2025-09-05 01:30:00+00:00,1,2025-09-05 01:45:00+00:00,43.0,-83.0708498030045,-1,False,incorrect
2025-09-05 01:45:00+00:00,1,2025-09-05 02:00:00+00:00,-187.0,-76.7134012850947,-1,True,correct
2025-09-05 02:00:00+00:00,1,2025-09-05 02:15:00+00:00,-227.0,48.715207165041164,1,False,incorrect
2025-09-05 02:15:00+00:00,1,2025-09-05 02:30:00+00:00,-204.0,-115.77571174586379,-1,True,correct
2025-09-05 02:30:00+00:00,1,2025-09-05 02:45:00+00:00,-204.0,-219.02185283313207,-1,True,correct
2025-09-05 02:45:00+00:00,1,2025-09-05 03:00:00+00:00,-98.0,-108.94693811287578,-1,True,correct
2025-09-05 03:00:00+00:00,1,2025-09-05 03:15:00+00:00,-143.0,-172.04766207038827,-1,True,correct
2025-09-05 03:15:00+00:00,1,2025-09-05 03:30:00+00:00,-145.0,-167.88067938530043,-1,True,correct
2025-09-05 03:30:00+00:00,1,2025-09-05 03:45:00+00:00,-191.0,-250.58281918316445,-1,True,correct
2025-09-05 03:45:00+00:00,1,2025-09-05 04:00:00+00:00,-8.0,-95.81129831781577,-1,True,correct
2025-09-05 04:00:00+00:00,1,2025-09-05 04:15:00+00:00,-134.0,-62.57669418557083,-1,True,correct
2025-09-05 04:15:00+00:00,1,2025-09-05 04:30:00+00:00,-75.0,-5.9011676154863935,-1,True,correct
2025-09-05 04:30:00+00:00,1,2025-09-05 04:45:00+00:00,-207.0,-157.35019692919604,-1,True,correct
2025-09-05 04:45:00+00:00,1,2025-09-05 05:00:00+00:00,-65.0,-12.376344884947152,-1,True,correct
2025-09-05 05:00:00+00:00,1,2025-09-05 05:15:00+00:00,-235.0,-129.93671250399518,-1,True,correct
2025-09-05 05:15:00+00:00,1,2025-09-05 05:30:00+00:00,-121.0,-124.90374225896781,-1,True,correct
2025-09-05 05:30:00+00:00,1,2025-09-05 05:45:00+00:00,-71.0,-239.40637903972257,-1,True,correct
2025-09-05 05:45:00+00:00,1,2025-09-05 06:00:00+00:00,-388.0,-163.5811178685729,-1,True,correct
2025-09-05 06:00:00+00:00,1,2025-09-05 06:15:00+00:00,-325.0,-61.30944482311446,-1,True,correct
2025-09-05 06:15:00+00:00,1,2025-09-05 06:30:00+00:00,-319.0,-151.81533674477714,-1,True,correct
2025-09-05 06:30:00+00:00,1,2025-09-05 06:45:00+00:00,-343.0,-185.23037383072352,-1,True,correct
2025-09-05 06:45:00+00:00,1,2025-09-05 07:00:00+00:00,-181.0,-321.0051175192492,-1,True,correct
2025-09-05 07:00:00+00:00,1,2025-09-05 07:15:00+00:00,-102.0,-291.82150634083064,-1,True,correct
2025-09-05 07:15:00+00:00,1,2025-09-05 07:30:00+00:00,-70.0,-212.74962583439964,-1,True,correct
2025-09-05 07:30:00+00:00,1,2025-09-05 07:45:00+00:00,-54.0,-146.3256234854857,-1,True,correct
2025-09-05 07:45:00+00:00,1,2025-09-05 08:00:00+00:00,35.0,-151.3875571843146,-1,False,incorrect
2025-09-05 08:00:00+00:00,1,2025-09-05 08:15:00+00:00,101.0,-94.39756252403336,-1,False,incorrect
2025-09-05 08:15:00+00:00,1,2025-09-05 08:30:00+00:00,-81.0,9.197338461330187,1,False,incorrect
2025-09-05 08:30:00+00:00,1,2025-09-05 08:45:00+00:00,0.0,130.27576805454734,1,False,incorrect
2025-09-05 08:45:00+00:00,1,2025-09-05 09:00:00+00:00,-77.0,-3.5920881582830972,-1,True,correct
2025-09-05 09:00:00+00:00,1,2025-09-05 09:15:00+00:00,18.0,21.265493328627983,1,True,correct
2025-09-05 09:15:00+00:00,1,2025-09-05 09:30:00+00:00,54.0,-84.55545663203418,-1,False,incorrect
2025-09-05 09:30:00+00:00,1,2025-09-05 09:45:00+00:00,31.0,-7.68595258919828,-1,False,incorrect
2025-09-05 09:45:00+00:00,1,2025-09-05 10:00:00+00:00,-8.0,-35.48763486269371,-1,True,correct
